name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,0,1,33,49,0,0
sc,0,0,25,45,0,0
sc,0,0,25,43,0,0
sc,0,0,27,48,0,0
sc,0,0,28,48,0,0
sc,0,0,29,43,0,0
sc,0,1,26,46,0,0
sc,0,0,26,47,0,0
sc,0,0,30,49,0,0
sc,0,1,29,52,0,0
sc,0,0,29,59,0,0
sc,0,0,33,53,0,0
sc,0,0,31,47,0,0
sc,0,0,26,45,0,0
sc,0,1,28,46,0,0
sc,0,0,27,46,0,0
sc,0,0,29,44,0,0
sc,0,0,29,48,0,0
sc,0,0,29,46,0,0
sc,0,0,27,45,0,0
sc,0,0,27,52,0,0
sc,0,0,29,52,0,0
sc,0,0,31,53,0,0
sc,0,0,42,61,0,0
sc,0,0,31,49,0,0
sc,0,0,33,53,0,0
sc,0,0,31,47,0,0
sc,0,0,31,48,0,0
sc,0,0,28,50,0,0
sc,0,0,31,46,0,0
sc,0,0,31,48,0,0
sc,0,1,30,57,0,0
sc,0,1,26,46,0,0
sc,1,0,29,63,0,0
sc,0,1,37,61,0,0
sc,0,0,26,44,0,0
sc,0,1,33,49,0,0
sc,0,0,35,50,0,0
sc,0,0,29,46,0,0
sc,0,0,31,51,0,0
sc,0,0,33,44,0,0
sc,0,1,26,50,0,0
sc,0,1,28,46,1,0
sc,0,1,26,46,0,0
sc,0,0,31,50,1,0
sc,0,0,30,50,0,0
sc,0,1,29,45,0,0
sc,0,1,34,50,0,0
sc,0,0,23,44,0,0
sc,0,0,32,49,0,0
sc,0,0,29,47,0,0
sc,0,0,33,54,0,0
sc,0,0,31,48,0,0
sc,0,1,28,45,0,0
sc,1,0,26,46,0,0
sc,0,0,23,45,0,0
sc,0,0,32,51,0,0
sc,0,0,31,49,0,0
sc,0,0,31,46,0,0
sc,0,0,33,49,0,0
sc,0,0,28,64,0,0
sc,0,0,30,49,0,0
sc,0,1,28,49,0,0
sc,0,0,30,49,0,0
sc,0,0,28,43,1,0
sc,0,0,29,48,0,0
sc,0,0,27,45,0,0
sc,0,0,29,46,0,0
sc,0,0,35,49,0,0
sc,0,0,29,48,0,0
sc,0,0,29,50,0,0
sc,0,1,27,47,0,0
sc,0,0,25,55,0,0
sc,0,0,33,66,0,0
sc,0,1,33,53,0,0
sc,0,1,29,48,0,0
sc,0,0,25,47,0,0
sc,0,0,32,47,0,0
sc,0,0,34,46,0,0
sc,0,0,29,54,0,0
sc,0,0,27,48,0,0
sc,0,0,32,51,0,0
sc,0,0,26,70,0,0
sc,0,0,28,45,0,0
sc,0,0,29,53,1,0
sc,0,0,30,51,0,0
sc,1,0,29,50,0,0
sc,0,0,29,45,0,0
sc,0,1,37,50,0,0
sc,1,0,25,44,0,0
sc,0,0,31,47,0,0
sc,0,0,44,59,0,0
sc,0,0,27,50,0,0
sc,0,0,27,50,0,0
sc,0,0,27,51,0,0
sc,0,0,28,51,1,0
sc,0,0,35,55,0,0
sc,0,0,33,51,0,0
sc,0,0,31,47,0,0
sc,0,0,37,44,0,0
sc,0,1,34,52,0,0
sc,0,0,30,50,0,0
sc,1,0,30,53,0,0
sc,0,0,31,47,0,0
sc,0,0,28,47,0,0
sc,0,0,26,47,0,0
sc,0,0,29,61,0,0
sc,0,0,34,60,0,0
sc,0,0,31,45,0,0
sc,0,0,25,42,0,0
sc,0,0,25,45,0,0
sc,0,0,26,47,0,0
sc,0,0,29,45,0,0
sc,0,0,39,54,0,0
sc,0,0,35,49,0,0
sc,1,0,33,50,1,0
sc,0,0,29,46,0,0
sc,0,0,28,120,0,0
sc,0,0,39,51,1,0
sc,0,0,29,50,0,0
sc,0,1,33,47,0,0
sc,0,0,26,46,0,0
sc,0,1,31,50,0,0
sc,0,0,33,51,1,0
sc,0,0,27,48,0,0
sc,0,0,26,44,0,0
sc,0,0,27,43,0,0
sc,0,0,26,44,0,0
sc,0,0,27,47,0,0
sc,0,1,36,59,0,0
sc,0,0,35,52,0,0
sc,0,0,26,47,0,0
sc,0,1,28,49,0,0
sc,0,0,26,51,0,0
sc,0,0,39,55,0,0
sc,0,0,33,49,0,0
sc,0,0,29,47,0,0
sc,0,0,31,45,0,0
sc,0,0,33,47,0,0
sc,1,0,29,47,0,0
sc,0,0,28,53,0,0
sc,0,0,41,47,1,0
sc,1,0,30,51,0,0
sc,0,1,27,48,0,0
sc,0,0,29,52,0,0
sc,0,0,33,50,0,0
sc,0,0,29,52,1,0
sc,0,1,30,49,0,0
sc,0,1,28,46,0,0
sc,0,1,27,46,0,0
sc,0,0,27,51,0,0
sc,0,1,29,50,0,0
sc,0,1,37,60,0,0
sc,0,0,30,45,0,0
sc,0,0,28,43,0,0
sc,0,0,28,48,0,0
sc,0,0,28,51,0,0
sc,0,0,29,50,0,0
sc,0,0,28,47,0,0
sc,0,0,33,49,0,0
sc,0,0,28,46,0,0
sc,0,0,38,56,1,0
sc,0,0,34,54,0,0
sc,0,0,34,47,0,0
sc,0,0,27,45,0,0
sc,0,1,30,46,0,0
sc,0,0,28,51,0,0
sc,0,1,36,68,1,0
sc,0,0,33,51,0,0
sc,1,0,30,43,0,0
sc,0,0,30,52,0,0
sc,0,0,25,43,0,0
sc,0,0,25,50,0,0
sc,0,0,29,47,0,0
sc,0,0,28,49,0,0
sc,0,0,28,48,0,0
sc,0,1,28,46,0,0
sc,0,0,29,46,0,0
sc,0,1,25,49,0,0
sc,0,0,31,49,0,0
sc,0,0,26,48,1,0
sc,0,0,30,45,0,0
sc,0,0,26,45,0,0
sc,0,0,27,44,1,0
sc,0,0,30,47,0,0
sc,0,0,28,49,0,0
sc,0,0,32,47,0,0
sc,0,0,27,46,0,0
sc,0,0,28,46,0,0
sc,0,1,27,55,0,0
sc,0,0,36,49,0,0
sc,0,0,30,49,0,0
sc,0,0,30,53,0,0
sc,0,0,40,45,0,0
sc,0,1,32,46,0,0
sc,0,0,27,43,0,0
sc,0,0,28,43,0,0
sc,0,0,30,48,0,0
sc,0,1,29,48,0,0
sc,0,0,29,61,0,0
sc,0,0,27,42,0,0
sc,0,0,32,47,0,0
sc,0,0,28,48,0,0
sc,0,1,31,50,0,0
sc,0,1,31,51,0,0
sc,0,0,40,49,0,0
sc,0,1,29,48,0,0
sc,0,0,28,49,0,0
sc,0,0,28,52,0,0
sc,0,1,30,51,0,0
sc,0,0,43,48,0,0
sc,0,0,30,48,0,0
sc,0,0,26,45,0,0
sc,0,0,31,47,0,0
sc,0,0,34,56,0,0
sc,0,0,29,51,1,0
sc,0,0,32,49,0,0
sc,0,1,26,46,0,0
sc,0,0,26,44,0,0
sc,0,0,32,54,0,0
sc,0,0,29,47,0,0
sc,0,0,31,48,0,0
sc,1,0,34,47,0,0
sc,0,0,27,46,0,0
sc,0,0,28,49,0,0
sc,0,0,27,47,0,0
sc,0,0,30,51,0,0
sc,0,0,32,56,0,0
sc,0,1,31,50,0,0
sc,0,0,30,50,0,0
sc,0,1,30,51,0,0
sc,0,1,37,50,0,0
sc,1,0,31,50,0,0
sc,0,1,36,63,0,0
sc,0,0,30,47,1,0
sc,0,0,28,48,0,0
sc,0,1,26,44,0,0
sc,0,0,30,54,0,0
sc,0,1,29,52,0,0
sc,0,0,40,51,0,0
sc,0,0,29,47,0,0
sc,0,0,29,48,0,0
sc,0,1,30,50,0,0
sc,0,0,31,58,0,0
sc,0,0,36,53,0,0
sc,0,0,25,45,0,0
sc,0,0,24,56,0,0
sc,1,0,30,45,0,0
sc,0,0,44,62,0,0
sc,0,0,32,54,0,0
sc,0,0,29,51,0,0
sc,1,0,27,46,0,0
sc,0,1,25,45,0,0
sc,0,1,31,53,0,0
sc,0,0,31,58,0,0
sc,0,0,41,50,0,0
sc,0,0,29,74,0,0
sc,0,0,26,47,0,0
sc,0,0,26,49,0,0
sc,0,0,28,48,0,0
sc,0,0,30,48,0,0
sc,0,1,27,45,0,0
sc,0,0,26,46,0,0
sc,0,0,34,50,0,0
sc,0,1,38,60,0,0
sc,0,1,31,55,0,0
sc,0,0,31,48,0,0
sc,0,0,25,44,0,0
sc,0,0,25,43,0,0
sc,0,0,29,45,0,0
sc,0,0,36,55,1,0
sc,0,1,28,46,0,0
sc,0,1,33,48,0,0
sc,0,1,27,46,0,0
sc,0,1,26,53,1,0
sc,0,1,26,53,0,0
sc,0,0,28,50,0,0
sc,0,1,28,48,0,0
sc,0,0,30,45,0,0
sc,0,1,27,44,0,0
sc,0,0,25,46,0,0
sc,0,0,25,49,0,0
sc,0,0,29,48,0,0
sc,0,0,33,50,0,0
sc,0,0,32,54,0,0
sc,0,0,28,46,0,0
sc,0,0,30,50,0,0
sc,1,0,28,62,0,0
sc,0,1,30,47,0,0
sc,0,0,30,51,0,0
sc,0,0,28,45,0,0
sc,0,0,28,47,0,0
sc,0,0,27,45,0,0
